מספר אישי,שם פרטי,שם משפחה,מין,עיר מגורים,מרחק מהבסיס
8502062,ליאל,בכר,זכר,ראשון לציון,24
8424860,ליאל,רוזן,זכר,אילת,3
8991828,תמר,כהן,נקבה,חיפה,34
8676648,רון,רוזן,זכר,רעננה,33
8752716,דנה,אלבז,נקבה,ירושלים,57
8168379,דנה,כהן,נקבה,אילת,46
8493706,מאיה,בן חיים,נקבה,תל אביב,10
8400214,יואב,לוי,זכר,אשדוד,38
8421166,יולי,כהן,נקבה,אילת,19
8854327,עומר,לוי,זכר,אשדוד,5
8422830,יואב,בן חיים,זכר,באר שבע,20
8430683,תמר,רוזן,נקבה,ראשון לציון,12
8318931,אור,בן חיים,נקבה,אשדוד,20
8743148,תמר,אלבז,נקבה,נתניה,53
8256040,יואב,שמש,זכר,חיפה,7
8789858,עומר,לוי,זכר,ירושלים,26
8770874,תמר,בן חיים,נקבה,רעננה,46
8123141,רון,לוי,זכר,תל אביב,38
8940731,אורי,כהן,זכר,אילת,10
8365458,אלון,פרץ,זכר,רעננה,48
8874510,יואב,לוי,זכר,אילת,5
8499929,תומר,אלבז,זכר,אילת,5
8764991,אורי,כהן,זכר,באר שבע,38
8209631,רוני,אלבז,נקבה,ראשון לציון,57
8321510,ליאל,חדד,זכר,ירושלים,5
8437202,שירי,פרץ,נקבה,באר שבע,36
8117157,יולי,פרץ,נקבה,אשדוד,10
8940115,יואב,לוי,זכר,אילת,56
8802123,אור,רוזן,נקבה,נתניה,15
8768753,תומר,בכר,זכר,אילת,12
